brand,nom_etablissement,source,note_brute,texte,note_std,langue,texte_propre,date,sentiment_score,sentiment_label
Huttopia,Sud_Ardeche,Google Maps,,"Déçus! |Une déception globale et surtout par l’équipe|L’equipe est désagréable , l’accueil froid, ça commence bien! |seule Enono (et une ou deux personnes) est sympathique, aucun service client! |le spa est fermé pas de date de réouverture, …",3.0,fr,"Déçus! |Une déception globale et surtout par l’équipe|L’equipe est désagréable , l’accueil froid, ça commence bien! |seule Enono (et une ou deux personnes) est sympathique, aucun service client! |le spa est fermé pas de date de réouverture, …",,-0.21888888888888888,Négatif
Huttopia,Sud_Ardeche,Google Maps,,"Nous sommes venus pour 7 jours, nous sommes conquis par le concept Huttopia ! Super accueil par les équipes, camping très propre, très bien entretenus et avons eu la chance d'avoir un bel emplacement en nature. Huttopia Sud Ardèche permet une vraie déconnexion.",4.0,fr,"Nous sommes venus pour 7 jours, nous sommes conquis par le concept Huttopia ! Super accueil par les équipes, camping très propre, très bien entretenus et avons eu la chance d'avoir un bel emplacement en nature. Huttopia Sud Ardèche permet une vraie déconnexion.",,0.34333333333333327,Positif
Huttopia,Sud_Ardeche,Google Maps,,"Idéal pour se reposer et couper avec les outils de communication moderne, car la 5g n' est dispo qu au niveau de l accueil... Pour le reste au top nous sommes partis debut septembre, quasi personne et un personnel au petit soin",3.0,fr,"Idéal pour se reposer et couper avec les outils de communication moderne, car la 5g n' est dispo qu au niveau de l accueil... Pour le reste au top nous sommes partis debut septembre, quasi personne et un personnel au petit soin",,0.21000000000000002,Positif
Huttopia,Sud_Ardeche,Google Maps,,"Parfait pour se ressourcer. Equipe au top et disponible pour répondre à toutes nos attentes. Nous y étions pour un weekend et la déconnexion a été totale pour ces deux jours. Les piscines et le spa forestier sont très appréciables et la rivière Ardèche à quelques minutes de voiture pour accéder aux plages. Nous étions dans un chalet Toronto et malgréla très très forte chaleur, l'aération est possible pour bénéficier de la fraîcheur de la nuit que permet l'immersion en pleine nature.",4.0,fr,"Parfait pour se ressourcer. Equipe au top et disponible pour répondre à toutes nos attentes. Nous y étions pour un weekend et la déconnexion a été totale pour ces deux jours. Les piscines et le spa forestier sont très appréciables et la rivière Ardèche à quelques minutes de voiture pour accéder aux plages. Nous étions dans un chalet Toronto et malgréla très très forte chaleur, l'aération est possible pour bénéficier de la fraîcheur de la nuit que permet l'immersion en pleine nature.",,0.29333333333333333,Positif
Huttopia,Sud_Ardeche,Google Maps,,Séjour dans un lieu super agréable et préservant l environnement. L accueil est très chaleureux. Les animations sont très bien choisies et de qualité. Bref tout était très bien et nous a donné envie de revenir,4.0,fr,Séjour dans un lieu super agréable et préservant l environnement. L accueil est très chaleureux. Les animations sont très bien choisies et de qualité. Bref tout était très bien et nous a donné envie de revenir,,0.29000000000000004,Positif
Huttopia,Sud_Ardeche,Google Maps,,"‼️ATTENTION À LIRE AVANT DE RÉSERVER chez Huttopia : Nous avions réservé via internet chez Huttopia pour vivre une expérience de camping « dans la forêt », tel que communiqué sur le site internet, à un tarif certes un peu plus cher qu’en camping classique, mais nous voulions découvrir une expérience originale. Nous sommes un couple de jeunes adultes passionnés par le plein air qui nous offrions des petites vacances avec nos petits sous.  À notre arrivée, après que l’accueil nous ait déjà demandés d’attendre ~45min avant de pouvoir installer nos affaires, malgré que nous étions arrivés aux bonnes heures d’arrivée, nous découvrons notre emplacement... On tombe des nues : tout au fond du camping, on nous présente un pan de terre labourée, peu accueillant, sans arbres au-dessus de nous. Notre excitation des vacances se transforme en désillusion. Nous avons envie de pleurer et le sentiment sale d’avoir comme été victimes d’une arnaque. On dirait qu’on nous a relogés dans l’arrière boutique du camping, et c’est pourtant bien un emplacement commercialisé, facturé à ~80€ la nuit.  Je retourne à la réception et demande des explications. Sur place pas de patron, uniquement des saisonnières au jeune âge. J’attends mon tour, je leur fait part respectueusement de mon problème, leur montre même une photo de l’emplacement pour qu’ils comprennent notre désarroi, et demande un nouvel emplacement. À ma grande surprise, on me répond redirige vers une jeune femme (en beige) qui finit par me répondre froidement qu’elles ne peuvent rien faire pour moi, et va même jusqu’à me dire que si je voulais mieux j’aurais dû choisir moi-même mon emplacement en prenant l’option au moment de la réservation (or je ne connaissais pas les emplacements du camping avant de le visiter). Autrement dit selon elles, si je n’étais pas content, je ne pouvais m’en prendre qu’à moi-même. Pire : de par leur jeune âge et leur jeune expérience de la relation client, leur communication est froide, distante, je ne me sens pas accompagné, pire encore je me sens jugé. La première jeune femme (brune) a été sympathique et souriante mais n’a malheureusement pas su nous aider. (Le personnel de bagagerie sont les seuls a avoir été sympathiques, bien qu’ils n’étaient pas en capacité de solutionner notre problème).  Concernant notre « emplacement de camping », j’ai appris par la suite de source interne qu’il s’agissait d’un ancien emplacement de chalet que la direction a fait démonter en début de saison, et a dans la foulée commercialisé en emplacement de camping, même si cela n’était pas prêt et pas à la hauteur des prestations du lieu. Un sou est un sou. Cela concerne notre emplacement ainsi que ses emplacements voisins.  J’ai également appris de source interne que d’autres clients avant nous se sont faits avoir cette saison, sur cet emplacement, et ont été mécontents.  Nos voisins d’emplacement, un jeune couple hollandais arrivé juste après nous sur l’emplacement 75, a vécu la même désillusion sous nos yeux, madame est même repartie en pleurant... Ces (courts) voisins ont refusé leur emplacement et on dû quitter le camping, abandonnant leur paiement de ~240€.  Nous aurions pu retrouver satisfaction si l’accueil avait su se rattraper en nous proposant un autre emplacement plus digne, ou avait fait un geste commercial pour nous dédommager de cette erreur. Malheureusement cela ne nous a pas été proposé, et cette jeune équipe inexpérimentée en relation client n’a pas su nous accompagner correctement, et nous a même fait nous sentir jugés. Peut-être même trouveront-ils encore le moyen de décrédibiliser notre triste et indigne expérience à Huttopia, en réponse à notre présent avis Google.  Très mauvaise expérience au camping Huttopia Sud Ardèche, qui sera remontée à la direction, et qui ne nous a donné que déception, tristesse, et par-dessus le marché un sentiment d’être jugés et catégorisés. Personne n’aime payer et vivre cela. Je ne peux donc que déconseiller vivement ce lieu pour celles et ceux qui cherchent des vacances sereines.  (Emplacement : 74)",3.0,fr,"‼️ATTENTION À LIRE AVANT DE RÉSERVER chez Huttopia : Nous avions réservé via internet chez Huttopia pour vivre une expérience de camping « dans la forêt », tel que communiqué sur le site internet, à un tarif certes un peu plus cher qu’en camping classique, mais nous voulions découvrir une expérience originale. Nous sommes un couple de jeunes adultes passionnés par le plein air qui nous offrions des petites vacances avec nos petits sous.  À notre arrivée, après que l’accueil nous ait déjà demandés d’attendre ~45min avant de pouvoir installer nos affaires, malgré que nous étions arrivés aux bonnes heures d’arrivée, nous découvrons notre emplacement... On tombe des nues : tout au fond du camping, on nous présente un pan de terre labourée, peu accueillant, sans arbres au-dessus de nous. Notre excitation des vacances se transforme en désillusion. Nous avons envie de pleurer et le sentiment sale d’avoir comme été victimes d’une arnaque. On dirait qu’on nous a relogés dans l’arrière boutique du camping, et c’est pourtant bien un emplacement commercialisé, facturé à ~80€ la nuit.  Je retourne à la réception et demande des explications. Sur place pas de patron, uniquement des saisonnières au jeune âge. J’attends mon tour, je leur fait part respectueusement de mon problème, leur montre même une photo de l’emplacement pour qu’ils comprennent notre désarroi, et demande un nouvel emplacement. À ma grande surprise, on me répond redirige vers une jeune femme (en beige) qui finit par me répondre froidement qu’elles ne peuvent rien faire pour moi, et va même jusqu’à me dire que si je voulais mieux j’aurais dû choisir moi-même mon emplacement en prenant l’option au moment de la réservation (or je ne connaissais pas les emplacements du camping avant de le visiter). Autrement dit selon elles, si je n’étais pas content, je ne pouvais m’en prendre qu’à moi-même. Pire : de par leur jeune âge et leur jeune expérience de la relation client, leur communication est froide, distante, je ne me sens pas accompagné, pire encore je me sens jugé. La première jeune femme (brune) a été sympathique et souriante mais n’a malheureusement pas su nous aider. (Le personnel de bagagerie sont les seuls a avoir été sympathiques, bien qu’ils n’étaient pas en capacité de solutionner notre problème).  Concernant notre « emplacement de camping », j’ai appris par la suite de source interne qu’il s’agissait d’un ancien emplacement de chalet que la direction a fait démonter en début de saison, et a dans la foulée commercialisé en emplacement de camping, même si cela n’était pas prêt et pas à la hauteur des prestations du lieu. Un sou est un sou. Cela concerne notre emplacement ainsi que ses emplacements voisins.  J’ai également appris de source interne que d’autres clients avant nous se sont faits avoir cette saison, sur cet emplacement, et ont été mécontents.  Nos voisins d’emplacement, un jeune couple hollandais arrivé juste après nous sur l’emplacement 75, a vécu la même désillusion sous nos yeux, madame est même repartie en pleurant... Ces (courts) voisins ont refusé leur emplacement et on dû quitter le camping, abandonnant leur paiement de ~240€.  Nous aurions pu retrouver satisfaction si l’accueil avait su se rattraper en nous proposant un autre emplacement plus digne, ou avait fait un geste commercial pour nous dédommager de cette erreur. Malheureusement cela ne nous a pas été proposé, et cette jeune équipe inexpérimentée en relation client n’a pas su nous accompagner correctement, et nous a même fait nous sentir jugés. Peut-être même trouveront-ils encore le moyen de décrédibiliser notre triste et indigne expérience à Huttopia, en réponse à notre présent avis Google.  Très mauvaise expérience au camping Huttopia Sud Ardèche, qui sera remontée à la direction, et qui ne nous a donné que déception, tristesse, et par-dessus le marché un sentiment d’être jugés et catégorisés. Personne n’aime payer et vivre cela. Je ne peux donc que déconseiller vivement ce lieu pour celles et ceux qui cherchent des vacances sereines.  (Emplacement : 74)",,0.08264285714285713,Neutre
Huttopia,Sud_Ardeche,Google Maps,,"En un mot : HONTEUX. Nous avions reservé pour 2 jours un emplacement de camping à Huttopia Sud Archeche, charmés par les promesses du site internet : un ""vaste emplacement au coeur de la nature"", en forêt, ""un coin de nature préservée"" comme ils l'annoncent. Pour cela nous sortons les billets : presque 200 euros les deux nuitées. Quelle ne fut pas notre désarrois face à notre emplacement de terre grossièrement batue et spongieuse, option jolis cailloux, en plein soleil... Nos pieds s’enfoncent de 5cm à chaque pas, les sardines ne tiennent pas, une journée pluvieuse n’est pas envisageable.  Après une demande de notre part de pouvoir changer d'emplacement qui s'est soldée par un désagréable refus de la part d'Huttopia, on nous annonce que les meilleurs emplacements sont reservés aux personnes qui restent plus longtemps (Comprenez : qui rapportent davantage). Pompom ? Notre emplacement (le 74) était en réalité un ancien chalet démonté... d'où la terre battue et l'arrivée d'eau !  Pour un prix aussi élevé, il est honteux de proposer de tels emplacements ; voyageurs passagés, nous vous conseillons de vous diriger vers un camping moins cher, peut-être y trouverez-vous un emplacement décent. Ou MIEUX : prendre une chambre d’hôtel, ce sera le même prix.  Mention spéciale à nos voisins de l'emplacement 75 qui sont arrivés et immédiatement repartis après avoir découvert leur emplacement... Faisant une croix sur un possible remboursement.",3.0,fr,"En un mot : HONTEUX. Nous avions reservé pour 2 jours un emplacement de camping à Huttopia Sud Archeche, charmés par les promesses du site internet : un ""vaste emplacement au coeur de la nature"", en forêt, ""un coin de nature préservée"" comme ils l'annoncent. Pour cela nous sortons les billets : presque 200 euros les deux nuitées. Quelle ne fut pas notre désarrois face à notre emplacement de terre grossièrement batue et spongieuse, option jolis cailloux, en plein soleil... Nos pieds s’enfoncent de 5cm à chaque pas, les sardines ne tiennent pas, une journée pluvieuse n’est pas envisageable.  Après une demande de notre part de pouvoir changer d'emplacement qui s'est soldée par un désagréable refus de la part d'Huttopia, on nous annonce que les meilleurs emplacements sont reservés aux personnes qui restent plus longtemps (Comprenez : qui rapportent davantage). Pompom ? Notre emplacement (le 74) était en réalité un ancien chalet démonté... d'où la terre battue et l'arrivée d'eau !  Pour un prix aussi élevé, il est honteux de proposer de tels emplacements ; voyageurs passagés, nous vous conseillons de vous diriger vers un camping moins cher, peut-être y trouverez-vous un emplacement décent. Ou MIEUX : prendre une chambre d’hôtel, ce sera le même prix.  Mention spéciale à nos voisins de l'emplacement 75 qui sont arrivés et immédiatement repartis après avoir découvert leur emplacement... Faisant une croix sur un possible remboursement.",,0.07750000000000001,Neutre
Huttopia,Sud_Ardeche,Google Maps,,"Super séjour, je recommande à 100% !!!  Nous avons tout particulièrement apprécié la sérénité des lieux. Le cadre naturel, entouré d'arbres, est vraiment reposant et offre un dépaysement total. Les logements sont bien séparés, ce qui est idéal pour préserver l'intimité tout en restant proche de la nature.  Un grand merci à Matis pour son accueil chaleureux. Il a su parfaitement nous guider en nous présentant les lieux, les différents services proposés, ainsi que les nombreuses activités disponibles au sein du village et aux alentours, ce qui a grandement contribué à la réussite de notre séjour.  Nous avons participé au tir à l'arc, à la construction de cabanes et à l'impression de feuilles frappées. Lucie, l’animatrice, a été fantastique ! Toujours souriante et sympathique, elle a su créer une belle ambiance et rendre chaque activité très agréable. Nous avons particulièrement apprécié sa flexibilité en nous permettant, adultes, de participer à des activités normalement réservées aux 8-12 ans, car il n'y avait pas beaucoup de monde. Cette souplesse est vraiment appréciable.  Le fait de limiter le nombre d’entrées pour le spa est très bien pensé, cela nous a permis de profiter pleinement de ce moment de détente sans qu'il y ait trop de monde.  Nous avons aussi beaucoup apprécié le principe de l’enregistrement de la carte bancaire, qui simplifie la gestion des dépenses en fin de séjour. C’était très pratique de pouvoir se balader sans penser à emporter nos portefeuilles !",4.0,fr,"Super séjour, je recommande à 100% !!!  Nous avons tout particulièrement apprécié la sérénité des lieux. Le cadre naturel, entouré d'arbres, est vraiment reposant et offre un dépaysement total. Les logements sont bien séparés, ce qui est idéal pour préserver l'intimité tout en restant proche de la nature.  Un grand merci à Matis pour son accueil chaleureux. Il a su parfaitement nous guider en nous présentant les lieux, les différents services proposés, ainsi que les nombreuses activités disponibles au sein du village et aux alentours, ce qui a grandement contribué à la réussite de notre séjour.  Nous avons participé au tir à l'arc, à la construction de cabanes et à l'impression de feuilles frappées. Lucie, l’animatrice, a été fantastique ! Toujours souriante et sympathique, elle a su créer une belle ambiance et rendre chaque activité très agréable. Nous avons particulièrement apprécié sa flexibilité en nous permettant, adultes, de participer à des activités normalement réservées aux 8-12 ans, car il n'y avait pas beaucoup de monde. Cette souplesse est vraiment appréciable.  Le fait de limiter le nombre d’entrées pour le spa est très bien pensé, cela nous a permis de profiter pleinement de ce moment de détente sans qu'il y ait trop de monde.  Nous avons aussi beaucoup apprécié le principe de l’enregistrement de la carte bancaire, qui simplifie la gestion des dépenses en fin de séjour. C’était très pratique de pouvoir se balader sans penser à emporter nos portefeuilles !",,0.32558928571428575,Positif
Huttopia,Sud_Ardeche,Google Maps,,"Nous avons passé un excellent séjour de 3 jours dans ce village vacances ! Le personnel était très agréable, toujours le sourire aux lèvres, et surtout l'envie de nous rendre le séjour le plus agréable possible ! Les tentes Trappeur sont très agréables, bien équipées, et toutes espacées les unes des autres, dans un écrin de nature ! Nous réitérerons l'expérience chez eux, et vous le conseillons fortement ! Tout petit bémol peut-être pour les tarifs exercés au restaurant-snack, un peu chers pour un camping, avec service réduit (retrait des commandes au comptoir, débarrassage de la table etc). Mais tout ce qui est proposé est très bon (bravo au Chef), frais, et souvent local ! Le service boulangerie du matin est très appréciable. Il y a juste la contrainte de devoir faire une commande exacte la veille, pas de possibilité de rajouter une viennoiserie le matin même, mais c'est ok car cela va avec leur volonté de limiter au maximum le gâchis :-) La possibilité d'avoir du jus d'orange pressé est un must !! Merci à Léna, Mathis et leur équipe pour leur gentillesse !! Bonne saison à tous !",4.0,fr,"Nous avons passé un excellent séjour de 3 jours dans ce village vacances ! Le personnel était très agréable, toujours le sourire aux lèvres, et surtout l'envie de nous rendre le séjour le plus agréable possible ! Les tentes Trappeur sont très agréables, bien équipées, et toutes espacées les unes des autres, dans un écrin de nature ! Nous réitérerons l'expérience chez eux, et vous le conseillons fortement ! Tout petit bémol peut-être pour les tarifs exercés au restaurant-snack, un peu chers pour un camping, avec service réduit (retrait des commandes au comptoir, débarrassage de la table etc). Mais tout ce qui est proposé est très bon (bravo au Chef), frais, et souvent local ! Le service boulangerie du matin est très appréciable. Il y a juste la contrainte de devoir faire une commande exacte la veille, pas de possibilité de rajouter une viennoiserie le matin même, mais c'est ok car cela va avec leur volonté de limiter au maximum le gâchis :-) La possibilité d'avoir du jus d'orange pressé est un must !! Merci à Léna, Mathis et leur équipe pour leur gentillesse !! Bonne saison à tous !",,0.25887096774193546,Positif
Huttopia,Sud_Ardeche,Google Maps,,"L’établissement et le service sont vraiment exceptionnels. C’est un super camping que je recommande. Le seul petit bémol, c’est la chaleur qu’il fait dans les chalets l’aptes-midi. Malheureusement les ventilateurs présent dans les logements ne suffisent pas. Forte heureusement les nuits sont fraîches.c’est un lieu très calme et reposant, suffisamment loin des gorges de l’Ardèche, pour ne pas avoir L’effet foule, mais suffisamment prêt aussi pour pouvoir jouir de toutes les activités de l’Ardèche",3.0,fr,"L’établissement et le service sont vraiment exceptionnels. C’est un super camping que je recommande. Le seul petit bémol, c’est la chaleur qu’il fait dans les chalets l’aptes-midi. Malheureusement les ventilateurs présent dans les logements ne suffisent pas. Forte heureusement les nuits sont fraîches.c’est un lieu très calme et reposant, suffisamment loin des gorges de l’Ardèche, pour ne pas avoir L’effet foule, mais suffisamment prêt aussi pour pouvoir jouir de toutes les activités de l’Ardèche",,0.13458333333333333,Neutre
